Category,sub_category,order_count,total_sales,total_profit,avg_profit
Technology,Phones,751,293993.89399999985,52046.354099999946,69.30273515312909
Furniture,Chairs,362,220870.14100000027,36471.00760000003,100.74863977900561
Office Supplies,Storage,661,177559.33799999993,27705.1302,41.91396399394856
Office Supplies,Binders,910,167272.12000000008,68732.25970000007,75.52995571428579
Technology,Accessories,683,156396.846,42867.262200000005,62.76319502196194
Technology,Copiers,68,149528.0299999999,55617.8249,817.9091897058823
Technology,Machines,71,116782.378,33503.42510000001,471.8792267605635
Office Supplies,Appliances,399,104149.62699999998,26767.646600000007,67.08683358395992
Furniture,Tables,114,100983.333,14686.667199999994,128.83041403508767
Office Supplies,Paper,1370,78479.20599999995,34053.569299999974,24.85661992700728
Furniture,Furnishings,781,76896.54400000001,19550.057,25.032083226632523
Furniture,Bookcases,117,66366.94349999996,8679.650000000001,74.18504273504274
Office Supplies,Supplies,157,32606.36200000001,1826.5224000000012,11.633900636942682
Office Supplies,Art,796,27118.79199999999,6527.787000000001,8.20073743718593
Office Supplies,Envelopes,254,16476.40199999999,6964.1766999999945,27.418018503936985
Office Supplies,Labels,364,12486.311999999998,5546.254000000003,15.236961538461546
Office Supplies,Fasteners,200,2840.5899999999983,982.7133999999998,4.913566999999999
